index,label,mean_mse,max_mse,mean_cos,min_cos,num_masked_patches,anomaly_score
1395,0,0.2488429993391037,1.2824238538742065,0.8582488298416138,0.26617491245269775,45,0.9042300432920456
1275,4,0.24919188022613525,1.2295970916748047,0.8581833243370056,0.29573333263397217,38,0.8781720936298371
1378,0,0.32058218121528625,1.0605148077011108,0.8177952170372009,0.393383264541626,24,0.8690600633621216
1581,2,0.26126930117607117,1.1736280918121338,0.8510697484016418,0.328717976808548,36,0.8629763722419739
2064,7,0.24182341992855072,1.1667646169662476,0.862598180770874,0.33138471841812134,34,0.8389459103345871
295,1,0.307888925075531,0.9980838298797607,0.8237922191619873,0.4224308133125305,26,0.8245516180992126
853,6,0.2638462483882904,1.0610781908035278,0.8492050766944885,0.3901371359825134,35,0.8094648361206055
1224,0,0.2935897409915924,0.9735188484191895,0.8326631188392639,0.44415709376335144,42,0.7970828533172607
1498,0,0.24479974806308746,1.0620089769363403,0.8599440455436707,0.3795816898345947,42,0.7898098319768906
607,1,0.2313792109489441,1.0634888410568237,0.8681589961051941,0.3888791799545288,34,0.7763077318668365
1899,2,0.24812689423561096,1.0192904472351074,0.8587599992752075,0.41583675146102905,40,0.7718961179256439
309,1,0.2538280189037323,1.0061267614364624,0.8549652099609375,0.41820746660232544,28,0.7713948786258698
788,1,0.3033277094364166,0.885621964931488,0.8272335529327393,0.49465295672416687,44,0.7634153366088867
936,0,0.19986902177333832,1.0759533643722534,0.8860775232315063,0.38264453411102295,42,0.7492379516363143
529,1,0.30409324169158936,0.8531978130340576,0.827016294002533,0.5102858543395996,48,0.7479905188083649
693,2,0.30990684032440186,0.8337669372558594,0.8230258226394653,0.5138179063796997,39,0.744487726688385
552,0,0.2049846202135086,1.0528676509857178,0.883312463760376,0.39482828974723816,29,0.7430871993303299
915,2,0.2570231854915619,0.936535656452179,0.8538361191749573,0.46168020367622375,30,0.7399074018001557
1852,7,0.34170597791671753,0.7541431784629822,0.8049123287200928,0.5643413066864014,32,0.7382863342761994
304,3,0.19420108199119568,1.0608972311019897,0.8895739912986755,0.39026981592178345,28,0.735692298412323
1334,7,0.25139275193214417,0.9326658844947815,0.8569712042808533,0.46632739901542664,44,0.7320285737514496
4,6,0.26589614152908325,0.8993974328041077,0.847838819026947,0.4778107702732086,33,0.7308109760284424
152,0,0.25784409046173096,0.8983411192893982,0.8527000546455383,0.4798160493373871,35,0.7217446446418763
431,9,0.23674224317073822,0.9388996958732605,0.8656931519508362,0.4662470817565918,24,0.7196227759122849
1909,1,0.21563482284545898,0.978679895401001,0.8769999742507935,0.4374239444732666,31,0.7172747731208802
1265,6,0.2371707260608673,0.922184944152832,0.8645723462104797,0.46998992562294006,38,0.7118059635162354
392,6,0.21208073198795319,0.9692041277885437,0.8795703053474426,0.4444468021392822,38,0.7087257653474808
1708,7,0.2051905393600464,0.9750862121582031,0.8835738897323608,0.43939799070358276,42,0.7043762564659118
